state,year,effectuated_enrollment,aptc_recipients,pct_aptc,csr_recipients,pct_csr
United States,2025,23393198.0,21822894.0,0.93,12512963.0,0.53
Alabama,2025,456972.0,446956.0,0.98,307086.0,0.67
Alaska,2025,27362.0,24249.0,0.89,4829.0,0.18
Arizona,2025,409554.0,370817.0,0.91,208954.0,0.51
Arkansas,2025,155093.0,143734.0,0.93,96147.0,0.62
California,2025,1953134.0,1751717.0,0.9,1273949.0,0.65
Colorado,2025,253041.0,202916.0,0.8,73881.0,0.29
Connecticut,2025,143860.0,128440.0,0.89,65015.0,0.45
Delaware,2025,50133.0,45885.0,0.92,15217.0,0.3
District of Columbia,2025,12359.0,3458.0,0.28,431.0,0.03
Florida,2025,4565216.0,4472539.0,0.98,2994535.0,0.66
Georgia,2025,1475623.0,1408787.0,0.95,989782.0,0.67
Hawaii,2025,23307.0,19676.0,0.84,6425.0,0.28
Idaho,2025,116102.0,100605.0,0.87,38903.0,0.34
Illinois,2025,437892.0,395850.0,0.9,225921.0,0.52
Indiana,2025,322634.0,289683.0,0.9,171616.0,0.53
Iowa,2025,132459.0,117890.0,0.89,44823.0,0.34
Kansas,2025,192304.0,182303.0,0.95,107920.0,0.56
Kentucky,2025,88154.0,77424.0,0.88,42710.0,0.48
Louisiana,2025,283688.0,276294.0,0.97,139705.0,0.49
Maine,2025,62637.0,53808.0,0.86,18160.0,0.29
Maryland,2025,231078.0,181274.0,0.78,62756.0,0.27
Massachusetts,2025,348191.0,294241.0,0.85,293819.0,0.84
Michigan,2025,511875.0,470840.0,0.92,250983.0,0.49
Minnesota,2025,147766.0,91520.0,0.62,14040.0,0.1
Mississippi,2025,322788.0,320193.0,0.99,251713.0,0.78
Missouri,2025,403033.0,383029.0,0.95,216732.0,0.54
Montana,2025,74687.0,67185.0,0.9,24408.0,0.33
Nebraska,2025,133006.0,127135.0,0.96,46406.0,0.35
Nevada,2025,108259.0,94596.0,0.87,56628.0,0.52
New Hampshire,2025,67123.0,47900.0,0.71,21268.0,0.32
New Jersey,2025,504431.0,457128.0,0.91,285908.0,0.57
New Mexico,2025,69426.0,60742.0,0.87,21939.0,0.32
New York,2025,202599.0,118526.0,0.59,36134.0,0.18
North Carolina,2025,924168.0,888059.0,0.96,420135.0,0.45
North Dakota,2025,41757.0,38239.0,0.92,10644.0,0.25
Ohio,2025,560993.0,513517.0,0.92,264874.0,0.47
Oklahoma,2025,298249.0,289763.0,0.97,166020.0,0.56
Oregon,2025,131672.0,106167.0,0.81,28346.0,0.22
Pennsylvania,2025,482493.0,421996.0,0.87,143283.0,0.3
Rhode Island,2025,41388.0,36438.0,0.88,15524.0,0.38
South Carolina,2025,608325.0,587715.0,0.97,262916.0,0.43
South Dakota,2025,52959.0,50340.0,0.95,18404.0,0.35
Tennessee,2025,615828.0,592946.0,0.96,352124.0,0.57
Texas,2025,3814112.0,3713574.0,0.97,1791433.0,0.47
Utah,2025,410339.0,395357.0,0.96,234472.0,0.57
Vermont,2025,32448.0,30280.0,0.93,4867.0,0.15
Virginia,2025,374730.0,326268.0,0.87,120491.0,0.32
Washington,2025,305381.0,226813.0,0.74,117758.0,0.39
West Virginia,2025,64252.0,63036.0,0.98,25133.0,0.39
Wisconsin,2025,303211.0,271589.0,0.9,115911.0,0.38
Wyoming,2025,45107.0,43457.0,0.96,11885.0,0.26
Notes,2025,,,,,
"Data for 2017-2024 represent the average monthly number of individuals who had an active policy in a given year. Data for 2025 include the number of individuals who had an active marketplace policy as of February 2025, and who paid their premium (thus effectuating their coverage). As a result, effectuated enrollment data for 2025 are not wholly comparable to data for prior years.",2025,,,,,
Sources,2025,,,,,
"[Effectuated Enrollment: Early 2025 Snapshot and Full Year 2024 Average](https://www.cms.gov/files/document/effectuated-enrollment-early-snapshot-2025-and-full-year-2024-average.pdf), Centers for Medicare and Medicaid Services (CMS), March 15, 2025.",2025,,,,,
Definitions,2025,,,,,
"*Marketplace Enrollees Receiving Advance Premium Tax Credits (APTCs):* Total number of individuals who had an active policy, who paid their premium (thus effectuating their coverage), and who received an APTC. Consumers with household incomes 100-400% of the federal poverty level may qualify for an APTC, which helps make their coverage more affordable throughout the year by lowering their share of monthly premium costs. Starting in 2021, the American Rescue Plan Act (ARPA) expanded APTC eligibility for those with household incomes above 400% FPL. The Inflation Reduction Act has extended these subsidy expansions up through 2025.",2025,,,,,
,2025,,,,,
"*Marketplace Enrollees Receiving Cost-Sharing Reductions (CSRs)* Total number of individuals who had an active policy, who paid their premium (thus effectuating their coverage), and received CSRs. CSRs are available to people who have incomes 100-250% of the federal poverty level, who are eligible to receive a premium tax credit, and who enroll in a silver plan through the Marketplace. The subsidies work by increasing the actuarial value of a silver plan to 73, 87, or 94 percent, depending on income, thus lowering out-of-pocket costs for consumers.",2025,,,,,
Footnotes,2025,,,,,
"1. Minnesota operates a Basic Health Program (BHP), MinnesotaCare, which provides coverage to individuals with incomes 138%-200% of the federal poverty level who would otherwise be eligible to purchase subsidized coverage through the state's Health Insurance Marketplace, MNsure. Individuals can enroll in the BHP throughout the year, and as of December 31, 2024, there were 97,078 people enrolled in MinnesotaCare.",2025,,,,,
"2. New York provides coverage through the Essential Health Plan (EP) to individuals with incomes 138%-250% of the federal poverty level who would otherwise be eligible to purchase subsidized coverage through the state's Health Insurance Marketplace, NY State of Health. Individuals can enroll in the EP throughout the year, and as of January 31, 2025, there were 1,663,673 people enrolled in New York's EP.",2025,,,,,
"3. Oregon operates a Basic Health Program (BHP), OHP Bridge, which provides coverage to individuals with incomes 138%-200% of the federal poverty level who would otherwise be eligible to purchase subsidized coverage through the federal Health Insurance Marketplace.  Individuals can enroll in the BHP throughout the year, and as of January 15, 2025, there were 31,944 people enrolled in OHP Bridge.",2025,,,,,
